0	0
1	0
2	0
2	-1
3	-1
3	0
3	1
4	1
4	2
5	2
5	3
5	4
6	4
7	4
7	3
6	3
6	2
6	1
6	0
7	0
7	1
7	2
8	2
9	2
10	2
10	1
11	1
12	1
12	2
11	2
11	3
11	4
10	4
10	3
9	3
9	4
8	4
8	5
9	5
9	6
10	6
10	5
11	5
11	6
12	6
13	6
14	6
14	5
15	5
16	5
16	4
15	4
15	3
15	2
15	1
15	0
14	0
14	-1
13	-1
12	-1
12	0
11	0
11	-1
11	-2
11	-3
12	-3
13	-3
14	-3
14	-4
15	-4
15	-5
14	-5
13	-5
13	-4
12	-4
11	-4
10	-4
10	-3
9	-3
9	-4
8	-4
8	-5
7	-5
7	-6
7	-7
6	-7
5	-7
5	-6
5	-5
4	-5
4	-6
3	-6
3	-7
2	-7
2	-6
1	-6
1	-7
0	-7
-1	-7
-2	-7
-3	-7
-4	-7
-5	-7
-5	-8
-5	-9
-5	-10
-6	-10
-7	-10
-8	-10
-8	-9
-7	-9
-7	-8
-8	-8
-8	-7
-9	-7
-9	-6
-9	-5
-8	-5
-7	-5
-7	-4
-8	-4
-9	-4
-10	-4
-10	-5
-10	-6
-11	-6
-11	-5
-12	-5
-13	-5
-14	-5
-14	-6
-14	-7
-14	-8
-15	-8
-16	-8
-16	-7
-15	-7
-15	-6
-15	-5
-16	-5
-16	-4
-17	-4
-17	-3
-17	-2
-18	-2
-18	-3
-18	-4
-19	-4
-19	-3
-20	-3
-20	-2
-19	-2
-19	-1
-20	-1
-21	-1
-21	0
-21	1
-21	2
-21	3
-20	3
-20	4
-19	4
-19	5
-20	5
-20	6
-21	6
-22	6
-22	7
-23	7
-24	7
-25	7
-25	6
-26	6
-26	5
-26	4
-27	4
-27	3
-28	3
-29	3
-29	4
-30	4
-30	3
-31	3
-31	4
-32	4
-32	3
-33	3
-33	4
-33	5
-34	5
-34	4
-34	3
-34	2
-33	2
-33	1
-33	0
-33	-1
-33	-2
-32	-2
-32	-3
-33	-3
-34	-3
-34	-4
-35	-4
-35	-5
-34	-5
-33	-5
-33	-4
-32	-4
-31	-4
-31	-5
-31	-6
-30	-6
-29	-6
-28	-6
-27	-6
-26	-6
-26	-5
-26	-4
-25	-4
-24	-4
-23	-4
-23	-3
-22	-3
-21	-3
-21	-4
-22	-4
-22	-5
-22	-6
-22	-7
-21	-7
-20	-7
-20	-8
-21	-8
-21	-9
-21	-10
-21	-11
-20	-11
-20	-12
-21	-12
-21	-13
-20	-13
-20	-14
-19	-14
-18	-14
-17	-14
-17	-13
-17	-12
-16	-12
-15	-12
-15	-11
-14	-11
-14	-10
-13	-10
-13	-11
-12	-11
-12	-12
-11	-12
-11	-13
-10	-13
-9	-13
-8	-13
-7	-13
-7	-12
-7	-11
-6	-11
-5	-11
-4	-11
-4	-10
-4	-9
-3	-9
-3	-10
-3	-11
-3	-12
-4	-12
-5	-12
-6	-12
-6	-13
-5	-13
-5	-14
-5	-15
-6	-15
-6	-16
-5	-16
-4	-16
-4	-15
-4	-14
-3	-14
-3	-15
-3	-16
-2	-16
-1	-16
-1	-15
-2	-15
-2	-14
-1	-14
-1	-13
0	-13
0	-14
1	-14
1	-13
2	-13
3	-13
3	-14
3	-15
3	-16
4	-16
4	-15
4	-14
5	-14
5	-13
5	-12
5	-11
6	-11
6	-12
6	-13
6	-14
7	-14
7	-13
8	-13
8	-14
8	-15
9	-15
9	-16
10	-16
10	-15
10	-14
11	-14
11	-15
12	-15
13	-15
14	-15
14	-16
13	-16
12	-16
11	-16
11	-17
12	-17
13	-17
14	-17
15	-17
15	-18
16	-18
17	-18
17	-19
18	-19
18	-18
18	-17
18	-16
18	-15
19	-15
19	-16
19	-17
19	-18
19	-19
20	-19
20	-18
21	-18
21	-19
21	-20
22	-20
22	-19
22	-18
22	-17
22	-16
23	-16
23	-17
23	-18
24	-18
24	-19
25	-19
25	-18
25	-17
26	-17
26	-18
26	-19
26	-20
26	-21
25	-21
25	-20
24	-20
24	-21
24	-22
25	-22
26	-22
26	-23
25	-23
24	-23
24	-24
23	-24
23	-23
22	-23
22	-22
21	-22
21	-23
20	-23
20	-22
20	-21
20	-20
19	-20
18	-20
18	-21
18	-22
17	-22
17	-21
17	-20
16	-20
